n_sample,n_feature,n_component,func,gflops
1000,3,10,sgemm,0.10049847849526777
1000,3,10,matmul,0.52401507548152
1000,3,10,sklearn,0.18244697864936385
1000,3,100,sgemm,0.021456645821760923
1000,3,100,matmul,0.032552593385953885
1000,3,100,sklearn,0.5836230055658628
1000,10,10,sgemm,0.014454469481189702
1000,10,10,matmul,0.27691115255747933
1000,10,10,sklearn,0.31597295515754187
1000,10,100,sgemm,5.028990737687719
1000,10,100,matmul,2.737662320708843
1000,10,100,sklearn,1.6797709205230382
1000,50,10,sgemm,0.035487852806311206
1000,50,10,matmul,1.3118473688325905
1000,50,10,sklearn,1.4360120514927417
1000,50,100,sgemm,12.847244046251628
1000,50,100,matmul,12.210847477364698
1000,50,100,sklearn,8.212611730612965
10000,3,10,sgemm,0.04827346072838459
10000,3,10,matmul,1.716807586042228
10000,3,10,sklearn,0.4611828177686556
10000,3,100,sgemm,0.19430030439255638
10000,3,100,matmul,1.1709309678184827
10000,3,100,sklearn,1.3003712124343765
10000,3,1000,sgemm,1.062128314742652
10000,3,1000,matmul,1.201611486580853
10000,3,1000,sklearn,1.8403213528058042
10000,10,10,sgemm,0.13510248716796558
10000,10,10,matmul,0.3605375006178292
10000,10,10,sklearn,1.3311553140000794
10000,10,100,sgemm,0.5727720828670395
10000,10,100,matmul,1.2169987370998852
10000,10,100,sklearn,3.7070166600380046
10000,10,1000,sgemm,3.4476690362535907
10000,10,1000,matmul,4.374421915996641
10000,10,1000,sklearn,6.646537284625173
10000,100,10,sgemm,0.6360689722369345
10000,100,10,matmul,0.8412832751909123
10000,100,10,sklearn,8.11693421192681
10000,100,100,sgemm,7.774085941536401
10000,100,100,matmul,10.26283832307491
10000,100,100,sklearn,22.246022432697266
10000,100,1000,sgemm,32.79881935936287
10000,100,1000,matmul,30.31336354572711
10000,100,1000,sklearn,28.63355511807328
10000,50,10,sgemm,0.5250864595976257
10000,50,10,matmul,1.5801832111109646
10000,50,10,sklearn,3.7282702222222226
10000,50,100,sgemm,2.7853204197865606
10000,50,100,matmul,5.30504182761508
10000,50,100,sklearn,12.511813619109411
10000,50,1000,sgemm,18.02439606104817
10000,50,1000,matmul,17.39458459649894
10000,50,1000,sklearn,15.71511321629907
100000,3,10,sgemm,0.17618986575632967
100000,3,10,matmul,0.18099570630245757
100000,3,10,sklearn,0.551966837014454
100000,3,100,sgemm,1.0668280951732962
100000,3,100,matmul,1.2015182606653039
100000,3,100,sklearn,1.1924910352866755
100000,3,1000,sgemm,2.0492616100325436
100000,3,1000,matmul,1.9765294324184746
100000,3,1000,sklearn,1.7303944018331059
100000,10,10,sgemm,0.5417043011290823
100000,10,10,matmul,0.7607645183670323
100000,10,10,sklearn,2.234751219460214
100000,10,100,sgemm,3.564633730472796
100000,10,100,matmul,4.339104247855175
100000,10,100,sklearn,4.927673655157748
100000,10,1000,sgemm,6.574339988181467
100000,10,1000,matmul,6.382501344523154
100000,10,1000,sklearn,5.444700941716357
100000,50,10,sgemm,2.6984469292432802
100000,50,10,matmul,8.724818896163667
100000,50,10,sklearn,7.297163898532583
100000,50,100,sgemm,19.771880898372167
100000,50,100,matmul,17.903714111129442
100000,50,100,sklearn,16.25919480177644
100000,50,1000,sgemm,27.450029629027043
100000,50,1000,matmul,27.60629380511356
100000,50,1000,sklearn,19.292813694789018
100000,100,10,sgemm,7.31567309474235
100000,100,10,matmul,7.476064602490771
100000,100,10,sklearn,9.20786387662708
100000,100,100,sgemm,22.834262030841714
100000,100,100,matmul,30.54316321293847
100000,100,100,sklearn,25.475038746553732
100000,100,1000,sgemm,42.18657147582277
100000,100,1000,matmul,45.190954577331965
100000,100,1000,sklearn,31.162061342796928
1000000,3,10,sgemm,1.0470237872354236
1000000,3,10,matmul,1.2759658793609074
1000000,3,10,sklearn,0.6639840110814288
1000000,3,100,sgemm,1.9431484947307962
1000000,3,100,matmul,1.964744204184616
1000000,3,100,sklearn,1.2661145534788094
1000000,3,1000,sgemm,2.7337024824279963
1000000,3,1000,matmul,2.3277225817733664
1000000,3,1000,sklearn,1.7110341051236018
1000000,10,10,sgemm,4.0592683781330265
1000000,10,10,matmul,4.681125877612609
1000000,10,10,sklearn,1.8220511946678675
1000000,10,100,sgemm,6.633829691772682
1000000,10,100,matmul,6.687185943068016
1000000,10,100,sklearn,4.336990443466234
1000000,10,1000,sgemm,9.544049147790016
1000000,10,1000,matmul,9.282334255092612
1000000,10,1000,sklearn,6.113527089891548
1000000,50,10,sgemm,13.799828485236421
1000000,50,10,matmul,13.030885838731018
1000000,50,10,sklearn,6.141733886127416
1000000,50,100,sgemm,27.531304907647502
1000000,50,100,matmul,27.73841528110572
1000000,50,100,sklearn,18.73417269207612
1000000,50,1000,sgemm,37.67033127038403
1000000,50,1000,matmul,35.76694274488217
1000000,50,1000,sklearn,23.680588968652366
1000000,100,10,sgemm,22.453612814334154
1000000,100,10,matmul,23.53413752641542
1000000,100,10,sklearn,8.10411310929809
1000000,100,100,sgemm,42.900421902842034
1000000,100,100,matmul,41.606085832817904
1000000,100,100,sklearn,26.59790100444823
1000000,100,1000,sgemm,56.561250320557114
1000000,100,1000,matmul,51.95985033501114
1000000,100,1000,sklearn,34.2152681525986
