init,10000,3,10,0.027949810028076172,O
fit,10000,3,10,0.04278707504272461,20
fit,10000,3,10,0.005761623382568359,20
init,10000,3,1000,0.7235047817230225,O
fit,10000,3,1000,0.7270035743713379,13
fit,10000,3,1000,0.14053583145141602,15
init,10000,3,10000,9.946199417114258,O
fit,10000,3,10000,5.93230676651001,3
fit,10000,3,10000,1.213599443435669,4
init,10000,50,10,0.02344489097595215,O
fit,10000,50,10,0.09913897514343262,20
fit,10000,50,10,0.03602886199951172,20
init,10000,50,1000,0.9754123687744141,O
fit,10000,50,1000,0.6019449234008789,13
fit,10000,50,1000,0.272275447845459,14
init,10000,50,10000,10.287505626678467,O
fit,10000,50,10000,3.843879222869873,1
fit,10000,50,10000,0.7901978492736816,2
init,1000000,3,10,0.49257683753967285,O
fit,1000000,3,10,3.360140800476074,20
fit,1000000,3,10,0.20878028869628906,20
